transaction_id,transaction_timestamp,product_id,warehouse,transaction_type,quantity
TRX-00001,2026-08-11T18:14:00,P4001,San Jose,RECEIPT,27
TRX-00002,2026-08-05T01:37:00,P4002,Cartago,RECEIPT,44
TRX-00003,2026-08-11T06:32:00,P1001,Heredia,RECEIPT,23
TRX-00004,2026-08-10T17:28:00,P1001,Heredia,SALE,7
TRX-00005,2026-09-02T17:51:00,P2001,San Jose,RETURN,1
TRX-00006,2026-08-07T23:13:00,P4002,Cartago,SALE,5
TRX-00007,2026-08-16T15:54:00,P1002,Cartago,RECEIPT,16
TRX-00008,2026-09-01T11:29:00,P3003,Heredia,SALE,1
TRX-00009,2026-08-04T16:35:00,P1002,Cartago,ADJUSTMENT,1
TRX-00010,2026-08-25T23:12:00,P5001,Heredia,SALE,6
TRX-00011,2026-09-03T07:18:00,P1002,San Jose,RECEIPT,24
TRX-00012,2026-08-17T13:17:00,P5001,Cartago,RECEIPT,16
TRX-00013,2026-08-17T03:22:00,P4001,San Jose,RETURN,2
TRX-00014,2026-08-27T07:40:00,P4001,San Jose,SALE,2
TRX-00015,2026-08-21T01:24:00,P3002,Cartago,SALE,3
TRX-00016,2026-08-30T13:20:00,P5002,San Jose,SALE,4
TRX-00017,2026-08-18T10:17:00,P1004,San Jose,RETURN,3
TRX-00018,2026-09-07T17:45:00,P1004,Cartago,ADJUSTMENT,4
TRX-00019,2026-09-08T01:58:00,P1004,Heredia,SALE,7
TRX-00020,2026-08-11T20:47:00,P3001,Heredia,RECEIPT,18
TRX-00021,2026-09-08T15:37:00,P3002,Cartago,SALE,7
TRX-00022,2026-08-23T01:31:00,P2002,San Jose,RECEIPT,18
TRX-00023,2026-08-07T20:40:00,P4003,San Jose,RECEIPT,17
TRX-00024,2026-08-17T18:24:00,P4003,Heredia,SALE,2
TRX-00025,2026-08-30T08:46:00,P3001,San Jose,SALE,1
TRX-00026,2026-09-03T03:41:00,P4001,Cartago,RETURN,3
TRX-00027,2026-08-20T16:00:00,P1002,Heredia,SALE,3
TRX-00028,2026-08-22T23:58:00,P5002,San Jose,SALE,3
TRX-00029,2026-08-07T20:23:00,P5001,San Jose,SALE,4
TRX-00030,2026-09-09T12:00:00,P3002,Heredia,ADJUSTMENT,3
TRX-00031,2026-09-09T23:23:00,P2002,Cartago,SALE,2
TRX-00032,2026-09-10T17:05:00,P1004,San Jose,RECEIPT,46
TRX-00033,2026-09-02T18:34:00,P4002,San Jose,SALE,2
TRX-00034,2026-08-12T15:33:00,P1003,Heredia,SALE,3
TRX-00035,2026-09-02T13:46:00,P2003,Heredia,ADJUSTMENT,3
TRX-00036,2026-08-29T23:41:00,P1004,Cartago,SALE,7
TRX-00037,2026-08-06T11:15:00,P3001,San Jose,RETURN,4
TRX-00038,2026-08-26T10:14:00,P1002,San Jose,SALE,4
TRX-00039,2026-08-11T02:04:00,P1002,San Jose,SALE,1
TRX-00040,2026-08-13T05:42:00,P5001,Cartago,SALE,4
TRX-00041,2026-08-11T16:50:00,P1004,Cartago,SALE,8
TRX-00042,2026-08-05T11:42:00,P4003,Cartago,SALE,2
TRX-00043,2026-09-07T04:46:00,P2002,San Jose,SALE,8
TRX-00044,2026-08-03T22:25:00,P4001,Heredia,SALE,2
TRX-00045,2026-08-11T22:12:00,P2002,San Jose,RETURN,1
TRX-00046,2026-08-09T03:17:00,P3002,Cartago,SALE,7
TRX-00047,2026-08-20T05:51:00,P1004,Heredia,RETURN,1
TRX-00048,2026-09-06T00:00:00,P1002,San Jose,RECEIPT,44
TRX-00049,2026-08-08T10:26:00,P5002,Cartago,SALE,4
TRX-00050,2026-09-08T20:03:00,P3001,San Jose,RECEIPT,35
TRX-00051,2026-08-12T15:59:00,P2003,Cartago,RECEIPT,34
TRX-00052,2026-08-07T22:12:00,P2001,Cartago,SALE,8
TRX-00053,2026-09-01T17:34:00,P1004,San Jose,ADJUSTMENT,4
TRX-00054,2026-08-26T06:30:00,P4002,Heredia,SALE,1
TRX-00055,2026-08-03T18:32:00,P5002,San Jose,RETURN,2
TRX-00056,2026-08-04T05:43:00,P5001,San Jose,RECEIPT,48
TRX-00057,2026-08-11T20:37:00,P2003,Heredia,RECEIPT,46
TRX-00058,2026-08-29T09:37:00,P1001,Heredia,SALE,7
TRX-00059,2026-08-10T01:42:00,P3002,Heredia,SALE,5
